Formula,Algorithm,Clauses Prop,Time
266,Local Search,0.9674,0.2218
266,Genetic,0.9752,6.0299
266,DPLL,,2.9944
267,Local Search,0.9778,0.3513
267,Genetic,0.9778,8.0043
267,DPLL,,3.8954
268,Local Search,0.9761,0.3818
268,Genetic,0.9839,8.5896
268,DPLL,,1.7671
269,Local Search,0.9739,0.481
269,Genetic,0.9743,10.7331
269,DPLL,,1.8569
270,Local Search,0.9722,0.2369
270,Genetic,0.9709,4.7014
270,DPLL,,2.754
271,Local Search,0.9765,0.2531
271,Genetic,0.9761,4.7163
271,DPLL,,2.3484
272,Local Search,0.973,0.2587
272,Genetic,0.9739,4.8509
272,DPLL,,3.8211
273,Local Search,0.9717,0.2424
273,Genetic,0.9835,4.7299
273,DPLL,,2.565
274,Local Search,0.9791,0.2271
274,Genetic,0.9739,4.6669
274,DPLL,,0.6748
275,Local Search,0.9783,0.2156
275,Genetic,0.98,5.0955
275,DPLL,,0.0
276,Local Search,0.9735,0.376
276,Genetic,0.977,7.8147
276,DPLL,,3.029
277,Local Search,0.9761,0.4936
277,Genetic,0.9843,7.6663
277,DPLL,,0.1987
278,Local Search,0.9687,0.7286
278,Genetic,0.9752,9.715
278,DPLL,,0.0
279,Local Search,0.9774,0.4125
279,Genetic,0.9809,6.6947
279,DPLL,,0.4437
280,Local Search,0.9787,0.3469
280,Genetic,0.9817,7.4867
280,DPLL,,0.0
281,Local Search,0.9713,0.3468
281,Genetic,0.9748,7.1863
281,DPLL,,3.8888
282,Local Search,0.9739,0.4328
282,Genetic,0.9757,7.6619
282,DPLL,,2.9523
283,Local Search,0.9748,0.3866
283,Genetic,0.98,7.4614
283,DPLL,,2.0234
284,Local Search,0.9713,0.3998
284,Genetic,0.9787,8.4374
284,DPLL,,4.7515
285,Local Search,0.973,0.7064
285,Genetic,0.9804,10.8444
285,DPLL,,2.8254
286,Local Search,0.9739,0.3352
286,Genetic,0.9813,7.5859
286,DPLL,,2.9072
287,Local Search,0.9722,0.3245
287,Genetic,0.9765,6.9319
287,DPLL,,4.0401
