Formula,Algorithm,Clauses Prop,Time
147,DPLL,,0.623
148,Local Search,0.97,0.274
148,Genetic,0.98,5.152
148,DPLL,,0.0
149,Local Search,0.98,0.261
149,Genetic,0.98,5.146
149,DPLL,,0.565
150,Local Search,0.98,0.27
150,Genetic,0.98,5.396
150,DPLL,,0.0
151,Local Search,0.98,0.307
151,Genetic,0.98,5.211
151,DPLL,,3.051
152,Local Search,0.97,0.244
152,Genetic,0.98,5.236
152,DPLL,,3.373
153,Local Search,0.98,0.263
153,Genetic,0.98,5.312
153,DPLL,,2.619
154,Local Search,0.97,0.254
154,Genetic,0.98,5.385
154,DPLL,,6.935
155,Local Search,0.97,0.211
155,Genetic,0.98,5.197
155,DPLL,,3.554
156,Local Search,0.97,0.253
156,Genetic,0.98,5.268
156,DPLL,,5.711
157,Local Search,0.98,0.254
157,Genetic,0.97,5.355
157,DPLL,,2.356
158,Local Search,0.97,0.25
158,Genetic,0.98,5.292
158,DPLL,,3.916
159,Local Search,0.97,0.224
159,Genetic,0.98,5.265
159,DPLL,,4.409
160,Local Search,0.98,0.267
160,Genetic,0.98,5.264
160,DPLL,,2.313
161,Local Search,0.98,0.265
161,Genetic,0.98,5.246
161,DPLL,,3.44
162,Local Search,0.97,0.288
162,Genetic,0.97,5.197
162,DPLL,,1.924
163,Local Search,0.98,0.257
163,Genetic,0.98,5.252
163,DPLL,,3.609
164,Local Search,0.97,0.241
164,Genetic,0.98,5.266
164,DPLL,,0.8
165,Local Search,0.98,0.255
165,Genetic,0.98,5.238
165,DPLL,,0.0
166,Local Search,0.98,0.31
166,Genetic,0.98,5.217
166,DPLL,,0.064
167,Local Search,0.98,0.279
167,Genetic,0.98,5.25
167,DPLL,,0.0
168,Local Search,0.98,0.275
168,Genetic,0.98,5.268
168,DPLL,,4.555
169,Local Search,0.98,0.288
169,Genetic,0.98,5.241
169,DPLL,,2.856
170,Local Search,0.97,0.253
170,Genetic,0.98,5.221
170,DPLL,,0.838
171,Local Search,0.97,0.278
171,Genetic,0.98,5.26
171,DPLL,,0.002
172,Local Search,0.98,0.293
172,Genetic,0.98,5.201
172,DPLL,,2.341
173,Local Search,0.97,0.22
173,Genetic,0.97,5.146
173,DPLL,,1.289
174,Local Search,0.97,0.26
174,Genetic,0.98,5.241
174,DPLL,,1.358
175,Local Search,0.98,0.272
175,Genetic,0.98,5.217
175,DPLL,,0.0
176,Local Search,0.97,0.243
176,Genetic,0.98,5.195
176,DPLL,,2.116
177,Local Search,0.98,0.281
177,Genetic,0.98,5.22
177,DPLL,,0.002
178,Local Search,0.97,0.252
178,Genetic,0.98,5.194
178,DPLL,,2.364
179,Local Search,0.98,0.266
179,Genetic,0.98,5.144
179,DPLL,,0.613
180,Local Search,0.98,0.278
180,Genetic,0.98,5.281
180,DPLL,,0.002
181,Local Search,0.97,0.26
181,Genetic,0.97,5.251
181,DPLL,,3.867
182,Local Search,0.98,0.25
182,Genetic,0.98,5.194
182,DPLL,,4.164
183,Local Search,0.97,0.241
183,Genetic,0.97,5.147
183,DPLL,,0.0
184,Local Search,0.97,0.196
184,Genetic,0.98,5.246
184,DPLL,,1.079
185,Local Search,0.97,0.264
185,Genetic,0.98,5.277
185,DPLL,,5.745
186,Local Search,0.97,0.228
186,Genetic,0.98,5.246
